哈佛大学经典课程分享（套装9册）,哈佛大学, 0.0,励志成功,书名：哈佛大学经典课程分享（套装9册）*-*作者：哈佛大学*-*格式：EPUB/MOBI/AZW3*-*评分：0.0*-*出版社：*-*出版年：2018-06-30*-*标签：励志套装学习*-*ISBN： *-*,https://www.aibooks.cc/wp-content/uploads/2020/03/2020030311083871.jpg,百度云盘##https://pan.baidu.com/s/1yfhcJx1tniZLnx0EQB8BFg,蓝奏云盘##https://www.lanzous.com/b02mtg21i,城通云盘##http://tesscn.aibooks.cc/dir/938796-37649824-a64796,百度提取码：7iaq蓝奏提取码：e8yc,https://www.aibooks.cc/books/8106.html
交易之路,陈凯, 7.0,经济管理,书名：交易之路*-*作者：陈凯*-*格式：EPUB/MOBI/AZW3*-*评分：7.0*-*出版社： 中信出版集团 *-*出版年： 2019-11 *-*标签：交易投资股票*-*ISBN： 9787521711073 *-*,https://www.aibooks.cc/wp-content/uploads/2020/03/2020030311044631.jpg,百度云盘##https://pan.baidu.com/s/1jGq4mT3tqtjrdocDY38b7A,蓝奏云盘##https://www.lanzous.com/b02mtg1of,城通云盘##http://tesscn.aibooks.cc/dir/938796-37649791-190a9c,百度提取码：cdc7蓝奏提取码：60e1,https://www.aibooks.cc/books/8103.html
解读华尔街（原书第5版）,[美]杰弗里B.利特尔/[美]杰弗里B.利特尔, 7.9,经济管理,书名：解读华尔街（原书第5版）*-*作者：[美]杰弗里B.利特尔/[美]杰弗里B.利特尔*-*格式：EPUB/MOBI/AZW3*-*评分：7.9*-*出版社：机械工业出版社*-*出版年：2010-8*-*标签：投资经济金融*-*ISBN： 9787111313779 *-*,https://www.aibooks.cc/wp-content/uploads/2020/03/2020030311001413.jpg,百度云盘##https://pan.baidu.com/s/1BCoPRcTOgn5TYaovawTWtg,蓝奏云盘##https://www.lanzous.com/b02mtg15g,城通云盘##http://tesscn.aibooks.cc/dir/938796-37649779-9703b5,百度提取码：cnvw蓝奏提取码：1jed,https://www.aibooks.cc/books/8100.html
可能性法则,[美]梅尔·施瓦茨（Mel Schwartz） , 8.0,励志成功,书名：可能性法则*-*作者：[美]梅尔·施瓦茨（Mel Schwartz） *-*格式：EPUB/MOBI/AZW3*-*评分：8.0*-*出版社：中信出版集团*-*出版年：2019-5*-*标签：励志心理成长*-*ISBN： 9787521700220 *-*,https://www.aibooks.cc/wp-content/uploads/2020/03/2020030310551951.jpg,百度云盘##https://pan.baidu.com/s/1R7YkYdBBI4lYAfVgHoHeqA,蓝奏云盘##https://www.lanzous.com/b02mtg0fa,城通云盘##http://tesscn.aibooks.cc/dir/938796-37648525-cb59c0,百度提取码：uen3蓝奏提取码：al5z,https://www.aibooks.cc/books/8097.html
人类的价值,[美] 罗伯特·博伊德 , 0.0,人文社科,书名：人类的价值*-*作者：[美] 罗伯特·博伊德 *-*格式：EPUB/MOBI/AZW3*-*评分：0.0*-*出版社： 浙江教育出版社*-*出版年：2019-12 *-*标签：人文人类社会*-*ISBN： 9787553695587 *-*,https://www.aibooks.cc/wp-content/uploads/2020/03/2020030310490547.jpg,百度云盘##https://pan.baidu.com/s/1vuK5z6v-JQRg5am8zK-FOQ,蓝奏云盘##https://www.lanzous.com/b02mtfzti,城通云盘##http://tesscn.aibooks.cc/dir/938796-37648498-5403be,百度提取码：ub28蓝奏提取码：747l,https://www.aibooks.cc/books/8093.html
终身成长行动指南,[日]赤羽雄二, 7.5,励志成功,书名：终身成长行动指南*-*作者：[日]赤羽雄二*-*格式：EPUB/MOBI/AZW3*-*评分：7.5*-*出版社：江西人民出版社*-*出版年：/ 2019-7 *-*标签：励志成长职场*-*ISBN： 9787210112778 *-*,https://www.aibooks.cc/wp-content/uploads/2020/03/2020030310444023.jpg,百度云盘##https://pan.baidu.com/s/1w5i06SfVCNW_QCgsiHL_aw,蓝奏云盘##https://www.lanzous.com/b02mtfzba,城通云盘##http://tesscn.aibooks.cc/dir/938796-37648483-afe9d7,百度提取码：4wcf蓝奏提取码：a765,https://www.aibooks.cc/books/8090.html
麦肯锡笔记思考法,[日] 大岛祥誉, 6.9,励志成功,书名：麦肯锡笔记思考法*-*作者：[日] 大岛祥誉*-*格式：EPUB/MOBI/AZW3*-*评分：6.9*-*出版社：江西人民出版社*-*出版年： 2017-12*-*标签：励志思维笔记*-*ISBN： 9787210097617 *-*,https://www.aibooks.cc/wp-content/uploads/2020/03/2020030310374298.jpg,百度云盘##https://pan.baidu.com/s/1ItpcytWcXOAJwXjv6vAMsg,蓝奏云盘##https://www.lanzous.com/b02mtfyfi,城通云盘##http://tesscn.aibooks.cc/dir/938796-37648468-4d1bcc,百度提取码：c7g7蓝奏提取码：f6z7,https://www.aibooks.cc/books/8087.html
第二十二条军规,[美] 约瑟夫·海勒, 9.7,小说文学,书名：第二十二条军规*-*作者：[美] 约瑟夫·海勒*-*格式：EPUB/MOBI/AZW3*-*评分：9.7*-*出版社：译林出版社*-*出版年：2019-10*-*标签：小说文学经典*-*ISBN： 9787544778503 *-*,https://www.aibooks.cc/wp-content/uploads/2020/03/2020030310330079.jpg,百度云盘##https://pan.baidu.com/s/13R2PXfNtTV3C2HaXfebp_Q,蓝奏云盘##https://www.lanzous.com/b02mtfxqd,城通云盘##http://tesscn.aibooks.cc/dir/938796-37648459-743097,百度提取码：sp3h蓝奏提取码：cvv6,https://www.aibooks.cc/books/8084.html
天才时代,[英]A.C.格雷林, 7.1,历史传记,书名：天才时代*-*作者：[英]A.C.格雷林*-*格式：EPUB/MOBI/AZW3*-*评分：7.1*-*出版社：中信出版集团*-*出版年： 2019-12*-*标签：历史欧洲科学*-*ISBN： 9787521707243 *-*,https://www.aibooks.cc/wp-content/uploads/2020/03/2020030310272772.jpg,百度云盘##https://pan.baidu.com/s/1ikB6H3gZCOM7isxJXVjAlA,蓝奏云盘##https://www.lanzous.com/b02mtfx1i,城通云盘##http://tesscn.aibooks.cc/dir/938796-37648438-78c33a,百度提取码：uibw蓝奏提取码：2za0,https://www.aibooks.cc/books/8081.html
巴拉巴西成功定律,[匈牙利]艾伯特 - 拉斯洛 • 巴拉巴西 , 8.4,人文社科,书名：巴拉巴西成功定律*-*作者：[匈牙利]艾伯特 - 拉斯洛 • 巴拉巴西 *-*格式：EPUB/MOBI/AZW3*-*评分：8.4*-*出版社：湛庐文化/天津科学技术出版社*-*出版年：2019-12-8*-*标签：心理思维社会学*-*ISBN： 9787557672805 *-*,https://www.aibooks.cc/wp-content/uploads/2020/03/2020030310224626.jpg,百度云盘##https://pan.baidu.com/s/1wTz_OaQFpnVb280kiLydUQ,蓝奏云盘##https://www.lanzous.com/b02mtfwne,城通云盘##http://tesscn.aibooks.cc/dir/938796-37648432-a4b1d8,百度提取码：4qht蓝奏提取码：3ki9,https://www.aibooks.cc/books/8078.html
麦肯锡入职培训第一课,[日]大岛祥誉, 7.1,经济管理,书名：麦肯锡入职培训第一课*-*作者：[日]大岛祥誉*-*格式：EPUB/MOBI/AZW3*-*评分：7.1*-*出版社：北京联合出版公司·后浪出版公司*-*出版年： 2015-5 *-*标签：思维管理职场*-*ISBN： 9787550251250 *-*,https://www.aibooks.cc/wp-content/uploads/2020/03/2020030108284843.jpg,百度云盘##https://pan.baidu.com/s/1R2LU8ELAASCa2iQLKnUahA,蓝奏云盘##https://www.lanzous.com/b02mt7zsj,城通云盘##http://tesscn.aibooks.cc/dir/938796-37617121-424a14,百度提取码：wniy蓝奏提取码：dvwb,https://www.aibooks.cc/books/8073.html
个人可持续发展精要,[美]史蒂芬·柯维, 6.4,经济管理,书名：个人可持续发展精要*-*作者：[美]史蒂芬·柯维*-*格式：EPUB/MOBI/AZW3*-*评分：6.4*-*出版社：中国青年出版社*-*出版年：2016-10-20*-*标签：个人发展管理*-*ISBN： 9787515344928 *-*,https://www.aibooks.cc/wp-content/uploads/2020/03/2020030108241382.jpg,百度云盘##https://pan.baidu.com/s/1h4JyPbhnkl-XEkVScVLH4w,蓝奏云盘##https://www.lanzous.com/b02mt7zgh,城通云盘##http://tesscn.aibooks.cc/dir/938796-37617100-7734b7,百度提取码：5h4g蓝奏提取码：cyfa,https://www.aibooks.cc/books/8070.html
